number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
76,,2023-09-12 23:35:29.744768,2023-09-12 23:35:30.385058,0 days 00:00:00.640290,1.0,8.676526694317143,5,23,2.5811890814656184,4.574128888634977,0.7,FAIL
77,,2023-09-12 23:35:30.386057,2023-09-12 23:35:30.954185,0 days 00:00:00.568128,0.5,6.419932089401471,6,63,8.518233188384055,7.82292041281446,1.0,FAIL
78,,2023-09-12 23:35:30.956185,2023-09-12 23:35:31.522092,0 days 00:00:00.565907,0.9,2.2194069525895888,5,92,8.51575900626542,7.736716816217378,1.0,FAIL
79,,2023-09-12 23:35:31.523091,2023-09-12 23:35:32.151827,0 days 00:00:00.628736,1.0,4.798893546446368,3,56,5.2111452064888795,6.975495789224826,0.7,FAIL
80,,2023-09-12 23:35:32.153827,2023-09-12 23:35:32.625738,0 days 00:00:00.471911,0.9,9.07493331979748,3,3,3.2531655716899333,9.12279887761634,0.7,FAIL
81,,2023-09-12 23:35:32.628243,2023-09-12 23:35:33.145925,0 days 00:00:00.517682,0.7,1.263035459327073,5,3,5.827605883308155,8.360740266476128,0.7,FAIL
82,,2023-09-12 23:35:33.148442,2023-09-12 23:35:33.637656,0 days 00:00:00.489214,0.9,8.215929171048352,6,15,8.086847843633848,3.3965697478658816,0.8,FAIL
83,,2023-09-12 23:35:33.639668,2023-09-12 23:35:34.174365,0 days 00:00:00.534697,1.0,5.526836505229469,4,23,3.5242920333978587,7.140834270947337,0.8,FAIL
84,,2023-09-12 23:35:34.176366,2023-09-12 23:35:34.905295,0 days 00:00:00.728929,1.0,1.3691068838030707,3,88,3.086593060814934,7.761264488542698,0.7,FAIL
85,,2023-09-12 23:35:34.908313,2023-09-12 23:35:35.366309,0 days 00:00:00.457996,0.7,2.2179201199597673,6,27,3.151120768369502,1.1204974403241197,1.0,FAIL
86,,2023-09-12 23:35:35.367815,2023-09-12 23:35:35.853247,0 days 00:00:00.485432,0.5,6.275169769079185,6,91,7.849303421003637,3.346698296231354,0.8,FAIL
87,,2023-09-12 23:35:35.854247,2023-09-12 23:35:36.452913,0 days 00:00:00.598666,0.7,7.058240463864872,6,97,6.290441920125902,5.636755413011519,0.7,FAIL
88,,2023-09-12 23:35:36.454913,2023-09-12 23:35:37.125322,0 days 00:00:00.670409,1.0,8.637046222372497,3,93,3.882999025535427,4.584061487156093,0.8,FAIL
89,,2023-09-12 23:35:37.127826,2023-09-12 23:35:37.869991,0 days 00:00:00.742165,0.5,5.4704121279437645,3,94,5.844447977462439,6.857548091701709,1.0,FAIL
90,,2023-09-12 23:35:37.870991,2023-09-12 23:35:38.383001,0 days 00:00:00.512010,0.9,6.158816085558566,4,5,4.262168547163333,4.476840991875461,0.6,FAIL
91,,2023-09-12 23:35:38.385001,2023-09-12 23:35:38.886610,0 days 00:00:00.501609,0.9,4.8559147325078404,4,76,4.416434703521444,3.2397950827880404,1.0,FAIL
92,,2023-09-12 23:35:38.889117,2023-09-12 23:35:39.363162,0 days 00:00:00.474045,0.7,9.009919177491719,4,4,2.9215440535057726,1.5820899914438546,0.7,FAIL
93,,2023-09-12 23:35:39.365162,2023-09-12 23:35:39.955084,0 days 00:00:00.589922,1.0,3.411023669364595,4,53,1.5527452335667289,2.099881413540386,0.6,FAIL
94,,2023-09-12 23:35:39.956084,2023-09-12 23:35:40.500740,0 days 00:00:00.544656,0.5,8.768580794293708,3,90,6.3483047394786905,7.574085864671708,0.8,FAIL
95,,2023-09-12 23:35:40.501740,2023-09-12 23:35:41.086062,0 days 00:00:00.584322,1.0,2.217449814412229,6,12,8.673043910292462,3.2074577341497825,0.7,FAIL
96,,2023-09-12 23:35:41.088579,2023-09-12 23:35:41.599036,0 days 00:00:00.510457,0.7,5.592134951545802,5,21,9.37145567733901,5.9934866572806085,0.6,FAIL
97,,2023-09-12 23:35:41.601037,2023-09-12 23:35:42.244902,0 days 00:00:00.643865,0.9,8.761053160108435,3,81,3.5440378870991855,7.67626173070432,0.8,FAIL
98,,2023-09-12 23:35:42.245901,2023-09-12 23:35:42.753445,0 days 00:00:00.507544,0.5,5.344063164894299,5,31,2.4409402753484746,9.846858552429595,0.8,FAIL
99,,2023-09-12 23:35:42.755445,2023-09-12 23:35:43.224452,0 days 00:00:00.469007,0.7,1.293974213709231,3,31,5.099362567345024,1.7806136796819092,0.6,FAIL
100,,2023-09-12 23:35:43.226452,2023-09-12 23:35:43.646349,0 days 00:00:00.419897,0.5,6.254773050859097,6,74,4.016674576654033,1.3128518312771411,1.0,FAIL
101,,2023-09-12 23:35:43.647853,2023-09-12 23:35:44.137868,0 days 00:00:00.490015,0.7,1.7845115661118658,5,68,1.3326596689328774,4.3247324091447705,1.0,FAIL
102,,2023-09-12 23:35:44.139870,2023-09-12 23:35:44.565937,0 days 00:00:00.426067,0.7,4.1040217535959735,5,36,2.1190885710970813,8.429140662355914,1.0,FAIL
103,,2023-09-12 23:35:44.567505,2023-09-12 23:35:45.160188,0 days 00:00:00.592683,0.9,3.1479404705580545,4,28,6.306559994899102,1.8681170958445965,1.0,FAIL
104,,2023-09-12 23:35:45.162188,2023-09-12 23:35:45.634130,0 days 00:00:00.471942,1.0,4.691113760472653,6,5,3.743501646590263,3.5170300902373466,1.0,FAIL
105,,2023-09-12 23:35:45.635130,2023-09-12 23:35:46.118166,0 days 00:00:00.483036,0.5,5.854040485681509,6,57,5.923260156100418,1.7139279761834905,0.8,FAIL
106,,2023-09-12 23:35:46.119168,2023-09-12 23:35:46.637597,0 days 00:00:00.518429,0.5,3.160188127283797,6,2,3.422923599121218,5.275305004747341,0.7,FAIL
107,,2023-09-12 23:35:46.639104,2023-09-12 23:35:47.114738,0 days 00:00:00.475634,0.7,2.221531619793908,4,3,1.6769665431066478,3.7449799925124845,0.6,FAIL
108,,2023-09-12 23:35:47.116738,2023-09-12 23:35:47.681261,0 days 00:00:00.564523,0.5,1.2689422332529239,3,91,7.981557733852608,7.2280426273063,0.6,FAIL
109,,2023-09-12 23:35:47.683261,2023-09-12 23:35:48.352213,0 days 00:00:00.668952,0.9,2.298325196992037,4,78,9.439823732042315,9.859905650159735,0.7,FAIL
110,,2023-09-12 23:35:48.353211,2023-09-12 23:35:48.937454,0 days 00:00:00.584243,0.9,5.004911360651418,5,1,8.959841319692085,9.59439281813338,0.8,FAIL
111,,2023-09-12 23:35:48.940489,2023-09-12 23:35:49.557794,0 days 00:00:00.617305,1.0,3.0452336516843155,5,2,5.018902924414494,6.294791467712497,0.7,FAIL
112,,2023-09-12 23:35:49.558811,2023-09-12 23:35:50.051770,0 days 00:00:00.492959,0.9,7.331464925740654,4,2,2.643957577921287,5.504191860798455,0.6,FAIL
113,,2023-09-12 23:35:50.052770,2023-09-12 23:35:50.489212,0 days 00:00:00.436442,0.9,7.46867652411483,6,36,1.8627490636160142,3.4403270149378233,1.0,FAIL
114,,2023-09-12 23:35:50.490213,2023-09-12 23:35:50.919245,0 days 00:00:00.429032,0.9,9.849384891435943,6,49,1.1138844206519423,1.8528741549762229,1.0,FAIL
115,,2023-09-12 23:35:50.920246,2023-09-12 23:35:51.393800,0 days 00:00:00.473554,0.5,2.7767107644971434,6,20,7.614167410840887,5.394236791971883,1.0,FAIL
116,,2023-09-12 23:35:51.395800,2023-09-12 23:35:51.983376,0 days 00:00:00.587576,0.7,8.644346227976193,6,16,3.0049630036520227,2.7505456010725373,1.0,FAIL
117,,2023-09-12 23:35:51.984376,2023-09-12 23:35:52.527353,0 days 00:00:00.542977,0.7,3.2565351058928753,4,67,2.853197397273573,9.380387150529337,0.6,FAIL
118,,2023-09-12 23:35:52.528859,2023-09-12 23:35:53.040880,0 days 00:00:00.512021,0.7,6.5054628724485095,3,95,5.853708304413184,4.69316094713832,0.8,FAIL
